Designator,Mid X,Mid Y,Rotation,Layer
D1,34.0,-29.3,180.0,bottom
D10,187.0,-29.3,180.0,bottom
D11,204.0,-29.3,180.0,bottom
D12,221.0,-29.3,180.0,bottom
D13,34.0,-46.3,180.0,bottom
D14,51.0,-46.3,180.0,bottom
D15,68.0,-46.3,180.0,bottom
D16,85.0,-46.3,180.0,bottom
D17,102.0,-46.3,180.0,bottom
D18,119.0,-46.3,180.0,bottom
D19,136.0,-46.3,180.0,bottom
D2,51.0,-29.3,180.0,bottom
D20,153.0,-46.3,180.0,bottom
D21,170.0,-46.3,180.0,bottom
D22,187.0,-46.3,180.0,bottom
D23,204.0,-46.3,180.0,bottom
D24,221.0,-46.3,180.0,bottom
D25,34.0,-63.3,180.0,bottom
D26,51.0,-63.3,180.0,bottom
D27,68.0,-63.3,180.0,bottom
D28,85.0,-63.3,180.0,bottom
D29,102.0,-63.3,180.0,bottom
D3,68.0,-29.3,180.0,bottom
D30,119.0,-63.3,180.0,bottom
D31,136.0,-63.3,180.0,bottom
D32,153.0,-63.3,180.0,bottom
D33,170.0,-63.3,180.0,bottom
D34,187.0,-63.3,180.0,bottom
D35,204.0,-63.3,180.0,bottom
D36,221.0,-63.3,180.0,bottom
D37,34.0,-80.3,180.0,bottom
D38,51.0,-80.3,180.0,bottom
D39,68.0,-80.3,180.0,bottom
D4,85.0,-29.3,180.0,bottom
D40,85.0,-80.3,180.0,bottom
D41,102.0,-80.3,180.0,bottom
D42,119.0,-80.3,180.0,bottom
D43,136.0,-80.3,180.0,bottom
D44,153.0,-80.3,180.0,bottom
D45,170.0,-80.3,180.0,bottom
D46,187.0,-80.3,180.0,bottom
D47,204.0,-80.3,180.0,bottom
D48,221.0,-80.3,180.0,bottom
D5,102.0,-29.3,180.0,bottom
D6,119.0,-29.3,180.0,bottom
D7,136.0,-29.3,180.0,bottom
D8,153.0,-29.3,180.0,bottom
D9,170.0,-29.3,180.0,bottom
SW1,34.0,-35.11035,0.0,top
SW10,187.0,-35.11035,0.0,top
SW11,204.0,-35.11035,0.0,top
SW12,221.0,-35.11035,0.0,top
SW13,34.0,-52.11035,0.0,top
SW14,51.0,-52.11035,0.0,top
SW15,68.0,-52.11035,0.0,top
SW16,85.0,-52.11035,0.0,top
SW17,102.0,-52.11035,0.0,top
SW18,119.0,-52.11035,0.0,top
SW19,136.0,-52.11035,0.0,top
SW2,51.0,-35.11035,0.0,top
SW20,153.0,-52.11035,0.0,top
SW21,170.0,-52.11035,0.0,top
SW22,187.0,-52.11035,0.0,top
SW23,204.0,-52.11035,0.0,top
SW24,221.0,-52.11035,0.0,top
SW25,34.0,-69.11035,0.0,top
SW26,51.0,-69.11035,0.0,top
SW27,68.0,-69.11035,0.0,top
SW28,85.0,-69.11035,0.0,top
SW29,102.0,-69.11035,0.0,top
SW3,68.0,-35.11035,0.0,top
SW30,119.0,-69.11035,0.0,top
SW31,136.0,-69.11035,0.0,top
SW32,153.0,-69.11035,0.0,top
SW33,170.0,-69.11035,0.0,top
SW34,187.0,-69.11035,0.0,top
SW35,204.0,-69.11035,0.0,top
SW36,221.0,-69.11035,0.0,top
SW37,34.0,-86.11035,0.0,top
SW38,51.0,-86.11035,0.0,top
SW39,68.0,-86.11035,0.0,top
SW4,85.0,-35.11035,0.0,top
SW40,85.0,-86.11035,0.0,top
SW41,102.0,-86.11035,0.0,top
SW42,119.0,-86.11035,0.0,top
SW43,136.0,-86.11035,0.0,top
SW44,153.0,-86.11035,0.0,top
SW45,170.0,-86.11035,0.0,top
SW46,187.0,-86.11035,0.0,top
SW47,204.0,-86.11035,0.0,top
SW48,221.0,-86.11035,0.0,top
SW49,228.075,-73.975,270.0,bottom
SW5,102.0,-35.11035,0.0,top
SW6,119.0,-35.11035,0.0,top
SW7,136.0,-35.11035,0.0,top
SW8,153.0,-35.11035,0.0,top
SW9,170.0,-35.11035,0.0,top
